Index,Agency,Agency category,Aid Flow category,Allocation 2015 - USD,Allocation 2016 - USD,Allocation 2017 - USD,Allocation 2018 - USD,Allocation 2019 - USD,Total 2015-19,Currency,Currency Conversion,2015 - Original Currency,2016 - Original Currency,2017 - Original Currency,2018 - Original Currency,2019 - Original Currency,Total 2015-19 OC
1,African Development Bank,Multilateral,Development ,1644899,5545580,22146387,20833333,20833333,71003532,UA,0.72,1184327,3992818,15945399,15000000,15000000,51122543
2,African Development Bank,Multilateral,Humanitarian,1000000,0,1000000,1000000,1000000,4000000,UA,0.72,720000,0,720000,720000,720000,2880000
3,Australia,Bilateral,Development ,1538462,1923077,1923077,0,0,5384615,AUS,1.30,2000000,2500000,2500000,,,7000000
4,Australia,Bilateral,Humanitarian,6619532,3398941,12897389,0,0,22915862,USD,1.00,6619532,3398941,12897389,,,22915862
5,Belgium,Bilateral,Humanitarian,204918,0,0,0,0,204918,USD,1.00,204918,,,,,204918
6,Botswana,Bilateral,Humanitarian,0,0,100000,0,0,100000,USD,1.00,,,100000,,,
7,Bulgaria,Bilateral,Humanitarian,31813,0,0,0,0,31813,USD,1.00,31813,,,,,31813
8,Canada,Bilateral,Development ,2500000,0,0,0,0,2500000,USD,1.00,2500000,,,,,2500000
9,Canada ,Bilateral,Humanitarian,19326613,20769231,18653846,0,0,58749690,CAD,1.30,25124597,27000000,24250000,,,76374597
10,Central Emergency Response Fund (CERF) ,Fund,Humanitarian,25289318,12885334,18000000,0,0,56174652,USD,1.00,25289318,12885334,18000000,,,56174652
11,China ,Bilateral,Humanitarian,0,2000000,0,0,0,2000000,USD,1.00,,2000000,,,,
12,Denmark,Bilateral,Development ,8134328,22761194,26417910,10000000,0,67313433,DKK,6.70,54500000,152500000,177000000,67000000,,451000000
13,Denmark,Bilateral,Peacekeeping,2835821,4402985,3283582,0,0,10522388,DKK,6.70,19000000,29500000,22000000,0,,70500000
14,Denmark ,Bilateral,Humanitarian,21083583,10207940,18382198,0,0,49673721,USD,1.00,21083583,10207940,18382198,,,49673721
15,European Commission,Multilateral,Development ,227309338,213855244,180000000,0,0,621164582,EUR,0.90,204578404,192469720,162000000,,,559048123
16,European Commission,Multilateral,Peacekeeping,285555556,215555556,264666667,6611111,0,772388889,EUR,0.90,257000000,194000000,238200000,5950000,,695150000
17,European Commission,Multilateral,Humanitarian,43521631,65573653,87500000,0,0,196595284,EUR,0.90,39169468,59016288,78750000,,,176935756
18,Finland,Bilateral,Development ,6222222,13666667,3333333,4444444,4444444,32111111,EUR,0.90,5600000,12300000,3000000,4000000,4000000,28900000
19,Finland,Bilateral,Peacekeeping,3133333,3865556,0,0,0,6998889,EUR,0.90,2820000,3479000,,,,6299000
20,Finland ,Bilateral,Humanitarian,6334234,6483222,5847741,0,0,18665197,USD,1.00,6334234,6483222,5847741,,,18665197
21,France,Bilateral,Humanitarian,340136,0,0,0,0,340136,USD,1.00,340136,,,,,340136
22,Germany,Bilateral,Development ,10380699,27074938,31166241,32327813,12400650,113350341,EUR,0.90,9342629,24367444,28049617,29095032,11160585,102015307
23,Germany,Bilateral,Humanitarian,22025600,84051492,11099257,2777778,111111,120065238,EUR,0.90,19823040,75646343,9989331,2500000,100000,108058714
24,Global Fund,Bilateral,Development ,13887846,34846436,44113390,0,0,92847672,USD,1.00,13887846,34846436,44113390,,,92847672
25,International Medical Corps,Other,Humanitarian,702608,0,0,0,0,702608,USD,1.00,702608,,,,,702608
26,IOM ,Multilateral,Humanitarian,1465498,7224920,0,0,0,8690418,USD,1.00,1465498,7224920,,,,8690418
27,Ireland ,Bilateral,Humanitarian,6142209,7304868,3361793,0,0,16808870,USD,1.00,6142209,7304868,3361793,,,16808870
28,Italy,Bilateral,Development ,7824609,23227408,27769356,24351800,24351800,107524973,EUR,0.90,7042148,20904667,24992420,21916620,21916620,96772476
29,Italy,Bilateral,Peacekeeping,5433333,4888889,4444444,0,0,14766667,EUR,0.90,4890000,4400000,4000000,,,13290000
30,Italy ,Bilateral,Humanitarian,5853187,2576314,9433917,0,0,17863418,EUR,0.90,5267868,2318683,8490525,,,16077076
31,Japan,Bilateral,Development ,16122538,5322991,0,0,0,21445529,USD,1.00,16122538,5322991,,,,21445529
32,Japan,Bilateral,Humanitarian,22500000,25419000,11976001,0,0,59895001,USD,1.00,22500000,25419000,11976001,,,59895001
33,King Salman Humanitarian Aid and Relief Center,Other,Humanitarian,0,5000000,0,0,0,5000000,USD,1.00,,5000000,,,,5000000
