SDRF,Fund,Partner,2015,2016,2017,Total
SDRF,AfDB SIF,AfDB,0,0,15,15
SDRF,AfDB SIF,Italy,0,1,0,1
SDRF,AfDB SIF,UK,0,2,0,2
SDRF,UN MPF (UN Window),Denmark,3,6,5,14
SDRF,UN MPF (UN Window),EU,36,9,12,56
SDRF,UN MPF (UN Window),Germany,0,5,0,5
SDRF,UN MPF (UN Window),Italy,1,6,0,7
SDRF,UN MPF (UN Window),Netherlands,3,3,0,5
SDRF,UN MPF (UN Window),Norway,5,6,2,13
SDRF,UN MPF (UN Window),Sweden,11,2,5,19
SDRF,UN MPF (UN Window),Switzerland,2,5,2,9
SDRF,UN MPF (UN Window),UK,5,7,5,16
SDRF,UN MPF (UN Window),UN PBF,9,15,0,24
SDRF,UN MPF (UN Window),USA,0,1,0,1
SDRF,UN MPTF (National Window),UN PBF,0,4,0,4
SDRF,World Bank MPF,Denmark,4,3,4,10
SDRF,World Bank MPF,EU,22,31,34,87
SDRF,World Bank MPF,Finland,0,2,0,2
SDRF,World Bank MPF,Italy,2,0,0,2
SDRF,World Bank MPF,Norway,5,6,9,20
SDRF,World Bank MPF,Sweden,8,4,0,13
SDRF,World Bank MPF,Switzerland,2,2,2,6
SDRF,World Bank MPF,UK,21,23,0,44
SDRF,World Bank MPF,USA,0,3,0,3
Other,IMF Somalia Trust Fund,Canada,3,0,0,3
Other,IMF Somalia Trust Fund,EU,0,1,0,1
Other,IMF Somalia Trust Fund,Italy,1,0,0,1
Other,IMF Somalia Trust Fund,USA,0,1,0,1
Other,Somaliland Development Fund,Denmark,1,6,7,13
Other,Somaliland Development Fund,Netherlands,2,2,2,6
Other,Somaliland Development Fund,Norway,2,0,0,2
Other,Somaliland Development Fund,UK,7,5,6,19
Other,Somalia Stability Fund,Denmark,2,2,0,3
Other,Somalia Stability Fund,EU,3,0,0,3
Other,Somalia Stability Fund,Netherlands,0,3,2,5
Other,Somalia Stability Fund,Norway,1,7,0,8
Other,Somalia Stability Fund,Sweden,1,2,0,3
Other,Somalia Stability Fund,UK,21,7,16,44
