Location,NDP Pillar,SubSector,2015 Location Total,2016 LocationTotal,2017 Location Total,2015 Pillar Total,2016 Pillar Total,2017 Pillar Total,2015 SubSector Total,2016 SubSector Total,2017 SubSector Total,Project title,Project objectives / purpose,Start Date,End Date,Links to other Sector,Reporting Agency,Funder,Implementers,Implementer Category,Project Value (USD),2015 Disbursements (USD),2016 Disbursements (USD),2017 Disbursements (USD),Links to project webpages or documents,Gender,Capacity building,Stabilization,2015 Project Location Allocation,2016 Project Location Allocation,2017 Project Location Allocation
Benadir,Building effective & efficient institutions,CSR/Public Administration,51310327,52215286,37450545,5596577,2461863,630487,725849.0417,771634.9522,567163.1335,JPLG - 12 (split against sectors of activity),"The overall objective of the programme is to promote improvements in local governance quality that can contribute to peace consolidation, state development and equitable service delivery. To achieve this, the programme outcomes are structured around three mutually reinforcing strategies: 1) Supporting policy and legislative reforms for functional, fiscal and administrative decentralization that clarify and enhance the roles of local governments, their relation¬ships to central government, and as a means to improve local service delivery; 2) Improving local government capacity for equitable service delivery; 3) Improving and expanding the delivery of sustainable services to citizens in an equit¬able, responsive and socially accountable manner and promoting local economic environment.",1/1/13,1/12/17,"Technical assistance, HR and ops",UN JPLG,"SIDA, EC, DFID, DENMARK, SDC and Norway","UNDP, UNICEF, UN Habitat, UNCDF and ILO",UN,100618908,6542153.146,6696243.161,6364115.459,http://mptf.undp.org/factsheet/fund/JSO00,Significant,Principal,Not targeted,294396.8916,301330.9423,286385.1956
Benadir,Building effective & efficient institutions,CSR/Public Administration,51310327,52215286,37450545,5596577,2461863,630487,725849.0417,771634.9522,567163.1335,JPLG - 2 (split against sectors of activity),"The overall objective of the programme is to promote improvements in local governance quality that can contribute to peace consolidation, state development and equitable service delivery. To achieve this, the programme outcomes are structured around three mutually reinforcing strategies: 1) Supporting policy and legislative reforms for functional, fiscal and administrative decentralization that clarify and enhance the roles of local governments, their relation¬ships to central government, and as a means to improve local service delivery; 2) Improving local government capacity for equitable service delivery; 3) Improving and expanding the delivery of sustainable services to citizens in an equit¬able, responsive and socially accountable manner and promoting local economic environment.",1/1/13,1/12/17,,UN JPLG,"SIDA, EC, DFID, DENMARK, SDC and Norway","UNDP, UNICEF, UN Habitat, UNCDF and ILO",UN,100618908,6247301.114,6394446.358,6077287.509,http://mptf.undp.org/factsheet/fund/JSO00,Significant,Principal,Not targeted,281128.5501,287750.0861,273477.9379
Benadir,Building effective & efficient institutions,CSR/Public Administration,51310327,52215286,37450545,5596577,2461863,630487,725849.0417,771634.9522,567163.1335,Institutional Capacity Development and Policy Support,"Institutional capacity development and policy support for government and line ministries in the agriculture, livestock, fisheries and land sectors using mixed methods such as assesments, documents review & interviews",1/5/16,1/12/16,,FAO,FAO TCP,FAO,UN,1500000,567098,500000,0,http://www.fao.org/countryprofiles/index/en/?iso3=SOM,Significant,Principal,NA – not screened,113419.6,100000,0
Benadir,Building effective & efficient institutions,CSR/Public Administration,51310327,52215286,37450545,5596577,2461863,630487,725849.0417,771634.9522,567163.1335,National Capacity Self Assessment,Take stock of Somalia’s existing capacities and specific capacity needs and priorities,4/5/15,31/12/2016,,UNDP,"GEF, UNDP",UNDP,UN,200000,51100,148000,51100,http://www.so.undp.org/,Significant,Significant,Significant,7300,21142.85714,7300
Benadir,Building effective & efficient institutions,CSR/Public Administration,51310327,52215286,37450545,5596577,2461863,630487,725849.0417,771634.9522,567163.1335,BRA - Coordination officer,Support the interim administrations to develop the core functions of government,6/8/16,31/12/2016,,SSF,"UK, Sweden, Denmark, EU, Netherlands and Norway",Dahabo,NGOs,65597,23307,54797,0,N/A,Principal,Principal,Significant,23307,54797,0
Benadir,Building effective & efficient institutions,CSR/Public Administration,51310327,52215286,37450545,5596577,2461863,630487,725849.0417,771634.9522,567163.1335,NIS-BRA Coordination Officer,Support the interim administrations to develop the core functions of government,13/04/2016,30/06/2016,,SSF,"UK, Sweden, Denmark, EU, Netherlands and Norway",Dahabo,NGOs,6297,6297,6297,0,N/A,Principal,Principal,Significant,6297,6297,0
Benadir,Building effective & efficient institutions,CSR/Public Administration,51310327,52215286,37450545,5596577,2461863,630487,725849.0417,771634.9522,567163.1335,ResearchCare Africa Conflict Analysis Gender,Services,1/7/16,31/08/2016,,SSF,"UK, Sweden, Denmark, EU, Netherlands and Norway",Judith Gardner,Private Sector,1902.4,0,1902.4,0,N/A,Significant,Principal,Significant,0,317.0666667,0
Benadir,Building national resilience capacity,Durable Solutions,51310327,52215286,37450545,7164257,13167265,7984402,0,5593586.627,4433778.519,"Support voluntary and informed return and reintegration of Somali Refugees from Kenya, Yemen, Ethiopia and Eritrea to Baidoa, Jowhar and Mogadishu Districts",Potential for voluntary return realized,1/1/16,1/12/16,,UNHCR,"USA, Canada, ECHO, Germany, Japan, KSC, DFID","INTERSOS, Italy",NGOs,2690515.31,0,2690515.31,0,,Significant,Significant,NA – not screened,0,896838.4367,0
Benadir,Building national resilience capacity,Durable Solutions,51310327,52215286,37450545,7164257,13167265,7984402,0,5593586.627,4433778.519,"Coordination of Refugee, Returnee and IDPs in South Central Regions of Somalia including Registration",Protection and Mixed Solutions,1/1/16,1/12/16,,UNHCR,"USA, Canada, ECHO, Germany, Japan, KSC, DFID",National Commission For Refugees And IDPs,NGOs,1051880,0,1051880,0,,Significant,Significant,NA – not screened,0,210376,0
Benadir,Building national resilience capacity,Durable Solutions,51310327,52215286,37450545,7164257,13167265,7984402,0,5593586.627,4433778.519,Provision of Essential Healthcare Services and Subsistence Allowance to Refugees and Returnees in Mogadishu,1. Health status of the population improved 2. Self reliance and Livelihoods improved,1/4/16,1/12/16,"Health, Livelihoods,",UNHCR,"KSC, Japan, ECHO","International Rescue Committee, USA",NGOs,744382.5605,0,744382.5605,0,,Significant,Significant,NA – not screened,0,744382.5605,0
