Project title,Project objectives / purpose,Start Date,End Date,NDP Pillar,Primary Sector,Links to other Sector,Reporting Agency,Funders,Implementers,Implementer Category,Project Value (USD),2015 Disbursements (USD),2016 Disbursements (USD),2017 Disbursements (USD),Sum 2015-17,Links to project webpages or documents,Gender,Capacity building,Stabilization,FGS,Benadir,Galmudug,Hiiraan & Middle Shabelle,Jubaland,Puntland,South West,Somaliland,Unattributed,FGS - 2015,Benadir - 2015,Galmudug - 2015,Hiiraan & Middle Shabelle - 2015,Jubaland - 2015,Puntland - 2015,South West - 2015,Somaliland - 2015,Unattributed - 2015,FGS - 2016,Benadir - 2016,Galmudug - 2016,Hiiraan & Middle Shabelle - 2016,Jubaland - 2016,Puntland - 2016,South West - 2016,Somaliland - 2016,Unattributed - 2016,FGS - 2017,Benadir - 2017,Galmudug - 2017,Hiiraan & Middle Shabelle - 2017,Jubaland - 2017,Puntland - 2017,South West - 2017,Somaliland - 2017,Unattributed - 2017
EU Flight Services to Somalia,The overall objective in line with the New Deal Compact is to contribute to fostering the resilience of Somali people and institutions and restoring the Somali people's trust in the state and its ability to protect and serve their basic needs.  ,May-16,Apr-18,7. Other,Enabling Activities,Flight Services,EU,EU,AIRTRAFFIC LTD,NGOs,16927556,0,1747821,0,1747821,,Not Targeted,Not Targeted,Significant,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,,0,0,0,0,0,0,0,0,0,218478,218478,218478,218478,218478,218478,218478,218478,0,0,0,0,0,0,0,0,0,0
Building Resilient Communities in Somalia (BRCiS),"BRCiS aims to improve the resilience of vulnerable communities and households in Somalia from the cyclical shocks of conflict, environmental and economic crisis.",Nov-13,Oct-17,6. Building national Resilience Capacity,NRM & Resilience,,UK,DFID /EU DEVCO,"Norwegian Refugee Council, Save the Children International, Concern World Wide, International Rescue Committee, CESVI",NGOs,30000000,6988731,8500000,6142857,21631588,https://devtracker.dfid.gov.uk/projects/GB-1-203462 ,Significant,Significant,Not Targeted,,0.3,,0.3,0.4,,,,,0,2096619,0,2096619,2795492,0,0,0,0,0,2550000,0,2550000,3400000,0,0,0,0,0,1842857,0,1842857,2457143,0,0,0,0
Public Consultations on Somalia’s Citizenship (Amendment) Bill 2016, Protection and Mixed Solutions,Jul-16,Aug-16,"1. Peace, security, and rule of law",Inclusive Politics,Inclusive political dialogue and social reconciliation,UNHCR,"USA, Canada, ECHO, Germany, Japan, KSC, DFID",Ministry of Interior and Federal Affairs,Government,79450,0,79450,0,79450,,Significant,Significant,NA – not screened ,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79450,0,0,0,0,0,0,0,0,0
Provision of basic services (health) to Yemen refugees and GBV survivors,. Health status of the population improved,Jan-16,Jun-16,5. Social & Human Capital,Health,"Solutions for the displaced, GBV",UNHCR,"KSC, Japan, ECHO",Hanano Medical Center,NGOs,95811,0,95811,0,95811,,Significant,Significant,NA – not screened ,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95811,0,0,0,0,0,0,0,0,0
"Provision of basic services (health, education) to refugees in Bosaso, Gardo, Badan and Garowe - 1",Health status of the population improved,Jan-16,Dec-16,5. Social & Human Capital,Health,Solutions for the displaced,UNHCR,"USA, Canada, ECHO, Germany, Japan, KSC, DFID",Gruppo Per Le Relazioni Transculturali (GRT),NGOs,325929,0,325929,0,325929,,Significant,Significant,NA – not screened ,,,,,,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325929,0,0,0,0,0,0,0,0,0,0,0,0
Community Based GBV Prevention and Response for IDPs in Galkayo,Risk of SGBV is reduced and quality of response improved,Jan-16,Dec-16,5. Social & Human Capital,GBV,Solutions for the displaced,UNHCR,"USA, Japan, Canada, UK, Germany, ECHO, CHF",Galkayo Education Center for Peace and Development (GECPD),NGOs,210000,0,210000,0,210000,,Significant,Significant,NA – not screened ,,,0.5,,,0.5,,,,0,0,0,0,0,0,0,0,0,0,0,105000,0,0,105000,0,0,0,0,0,0,0,0,0,0,0,0
Risk of SGBV is reduced and quality of response improved; Services for persons with specific needs strengthened, Protection and Mixed Solutions,Jan-16,Dec-16,5. Social & Human Capital,GBV,,UNHCR,"USA, Canada, ECHO, Germany, Japan, KSC, DFID",Save Somali Women and Children,NGOs,295200,0,295200,0,295200,,Significant,Significant,NA – not screened ,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295200,0,0,0,0,0,0,0,0,0
"Provision of SGBV prevention, response, counseling and assistance to Refugees and Internally Displaced Persons in Hargeisa and at Reception Centre.",Risk of SGBV is reduced and quality of response increased,Jan-16,Dec-16,5. Social & Human Capital,GBV,,UNHCR,"USA, Canada, ECHO, Germany, Japan KSC, DFID",Comprehensive Community Based and Rehabiltation in Somaliland (CCBRS),NGOs,155480,0,155480,0,155480,,Significant,Significant,NA – not screened ,,,,,,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155480,0,0,0,0,0,0,0,0,0,0
"Provision of basic services (health, education) to refugees in Bosaso, Gardo, Badan and Garowe - 2",Population has optimal access to education,Jan-16,Dec-16,5. Social & Human Capital,Education,Solutions for the displaced,UNHCR,"USA, Canada, ECHO, Germany, Japan, KSC, DFID",Gruppo Per Le Relazioni Transculturali (GRT),NGOs,201451,0,201451,0,201451,,Significant,Significant,NA – not screened ,,,,,,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201451,0,0,0,0,0,0,0,0,0,0,0,0
Provision of basic services (Education) to refugees (having access to public/Government schools in Somaliland,Population has optimal access to education,Jan-16,Dec-16,5. Social & Human Capital,Education,Capacity building ,UNHCR,"USA, Canada, ECHO, Germany, Japan, KSC, DFID",Norwegian Refugee Council (NRC),NGOs,200000,0,200000,0,200000,,Significant,Significant,NA – not screened ,,,,,,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200000,0,0,0,0,0,0,0,0,0,0
Support for Urban Refugees from Yemen Access Basic Primary Education through cash based interventions for quality Education and protection.,Population has optimal access to education Logistics and supply optimized to serve operational needs,Jan-16,Dec-16,5. Social & Human Capital,Education,Solutions for the displaced,UNHCR,"USA, Canada, ECHO, Germany, Japan, KSC, DFID",Action Africa Help International,NGOs,660018,0,660018,0,660018,,Significant,Significant,NA – not screened ,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,660018,0,0,0,0,0,0,0,0,0
